Puntuacion,Prioridad,Sector,Nombre,Telefono,Rating,Resenas,Fotos,Web,Direccion,Motivos
95,ALTA,clinicas dentales,Clínica Dental Dr. Ramón Gómez Meda,987 45 61 84,4.4,9,0,Sin web,"Av. Pérez Colino, 22, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 9 (+25) | Sin fotos (+20) | Rating medio 4.4 (+10)
90,ALTA,clinicas dentales,Clinica Dental,Sin telefono,5,4,0,Sin web,"Av. de Portugal, 38, 24403 Ponferrada, León, España",Sin web (+40) | Pocas resenas 4 (+25) | Sin fotos (+20) | Buen rating 5 (+5)
90,ALTA,talleres mecanicos,TALLERES JULIO MECANICA PONFERRADA,987 42 89 77,4.6,26,0,Sin web,"C. los Comuneros, 5, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Sin fotos (+20) | Buen rating 4.6 (+5)
90,ALTA,talleres mecanicos,AUTOMECANICA PONFERRADA S.L.,987 41 29 28,4.8,26,0,Sin web,"CARRETERA ORENSE, 3, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Sin fotos (+20) | Buen rating 4.8 (+5)
75,ALTA,talleres mecanicos,TALLERES CARRACEDO S.L.,987 42 86 60,4.6,58,0,Sin web,"Av. de Portugal, 291, 24403 Ponferrada, León, España",Sin web (+40) | Resenas medias 58 (+10) | Sin fotos (+20) | Buen rating 4.6 (+5)
75,ALTA,tiendas de ropa,WBACKSTAGE Moda_Femenina_Ponferrada,634 33 15 93,4.3,21,10,Sin web,"C. Fueros de León, 3, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 21 (+25) | Rating medio 4.3 (+10)
75,ALTA,tiendas de ropa,ABITO,987 08 82 24,4,6,6,Sin web,"Calle Dr. Fleming, 18, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 6 (+25) | Rating medio 4 (+10)
70,ALTA,peluquerias,Peluquería internacional,987 41 71 37,4.9,25,10,Sin web,"Av. Compostilla, 6, Bajo, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 25 (+25) | Buen rating 4.9 (+5)
70,ALTA,peluquerias,Laura Guerrero Peluqueros,987 41 86 39,5,35,10,Sin web,"Via Rio Valcarce, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 35 (+25) | Buen rating 5 (+5)
70,ALTA,clinicas dentales,Clinica dental Dra Estela Vence Becerra,987 03 86 70,5,3,7,Sin web,"Cuatrovientos (al lado de la gasolinera, Av. Galicia, 82, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 3 (+25) | Buen rating 5 (+5)
