Puntuacion,Nombre,Direccion,Telefono,Rating,Web,Prioridad
65,La Bodega de Godivah,"Av. el Castillo, 135, 24400 Ponferrada, León, España",,4.5,Sin web,ALTA
65,El Leñador Ponferrada,"Carr. Puebla de Sanabria, 42, 24400 Ponferrada, León, España",987 42 69 24,4.5,Sin web,ALTA
65,Restaurante Casino Rooftop Ponferrada,"C. Reloj, 14, 24400 Ponferrada, León, España",611 86 35 56,4.5,Sin web,ALTA
60,Las Muxas Brasería,"C. Lago de Carucedo, 17, 24400 Ponferrada, León, España",648 29 34 49,4.8,https://as-muxas-braseria-1.jimdosite.com/,ALTA
60,Restaurante Casa Aníbal,"C. Reloj, 10, 24400 Ponferrada, León, España",634 58 97 09,4.7,https://www.facebook.com/baranibaltapas,ALTA
45,Restaurante Mencía,"C. Nicolás de Brujas, 14, 24401 Ponferrada, León, España",637 85 11 44,4.4,https://m.facebook.com/pages/Restaurante-Mencia/101745249901338,MEDIA
45,El Bodegón,"Tr.ª Pelayo, 2, 24401 Ponferrada, León, España",987 41 10 19,4.4,https://m.facebook.com/pages/El-Bodegon/192717074099967,MEDIA
45,Restaurante La Central,"Museo de la Energía, Av. de la Libertad, 46, 24404 Ponferrada, León, España",987 03 93 55,4.5,http://facebook.com/lacentralponferrada,MEDIA
45,THE KITCHEN SOUL AND FOOD PONFERRADA,"C. Eladia Baylina, Bajo 39, 24402 Ponferrada, León, España",987 72 22 32,4.5,https://www.facebook.com/KitchenPonferrada/,MEDIA
45,Arco del Cenador,"Av. de Molinaseca, 8, 24400 Ponferrada, León, España",987 41 11 35,4.5,https://arcodelcenador.wixsite.com/arco,MEDIA
40,Restaurante Muna,"C. Gil y Carrasco, 25, 24401 Ponferrada, León, España",693 76 23 70,4.7,https://restaurantemuna.com/,MEDIA
25,Restaurante La Violeta,"Pl. Ayuntamiento, 6, 24401 Ponferrada, León, España",628 71 86 91,4.4,https://www.aroihoteles.com/restaurante-la-violeta/,BAJA
25,Lúa Ponferrada Restaurante,"Pl. Ayuntamiento, 2, 24400 Ponferrada, León, España",987 35 22 60,4.6,https://luaponferrada.es/,BAJA
25,7 Sillas,"Pl. Ayuntamiento, 7, 24400 Ponferrada, León, España",647 55 19 21,4.5,https://7sillas.es/,BAJA
25,La Casona,"C. Real, 72, 24411 Ponferrada, León, España",987 45 53 58,4.5,http://www.restaurantelacasona.com/,BAJA
25,Rosita Milagros,"C. Joaquín Soler Serrano, 2, 24400 Ponferrada, León, España",987 03 37 62,4.6,http://www.rositamilagros.com/,BAJA
25,Meson La Taberna,"Calle Sta. Beatriz de Silva, 4, 24401 Ponferrada, León, España",628 71 86 91,4.4,https://www.aroihoteles.com/meson-la-taberna/,BAJA
10,La Bodeguilla,"Pl. de Fernando Miranda, 5, 24402 Ponferrada, León, España",987 41 11 19,4.3,http://mesonvinotecalabodeguilla.multiespaciosweb.com/,BAJA
10,La Casa del Botillo,"C. Matadero, 41, 24415 Ponferrada, León, España",987 41 15 37,4.3,http://www.lacasadelbotillo.com/,BAJA
0,Restaurante Las Cuadras,"C. Tras la Cava, 2, 24401 Ponferrada, León, España",987 41 93 73,3.8,http://www.lascuadras.es/,BAJA
